16:29:46 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
16:30:11 [main] INFO  c.s.magento.pages.HomePage - user is on home page
16:30:15 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
16:34:32 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
16:34:33 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
16:34:33 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
16:34:57 [main] INFO  c.s.magento.pages.HomePage - user is on home page
16:35:00 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
16:45:19 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
16:45:19 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
16:45:19 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
16:45:46 [main] INFO  c.s.magento.pages.HomePage - user is on home page
16:45:49 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
16:51:42 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
16:51:43 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
16:51:43 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
16:52:08 [main] INFO  c.s.magento.pages.HomePage - user is on home page
16:52:12 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
16:58:10 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
16:58:13 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
16:58:13 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
16:58:38 [main] INFO  c.s.magento.pages.HomePage - user is on home page
16:58:42 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:03:01 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:03:02 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:03:02 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:03:27 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:03:30 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:06:09 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:06:09 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:06:09 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:06:34 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:06:38 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:12:29 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:12:30 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:12:30 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:12:57 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:13:01 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:14:59 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:14:59 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:14:59 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:15:24 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:15:28 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:16:59 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:16:59 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:16:59 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:17:22 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:17:26 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:28:24 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:28:26 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:28:26 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:28:51 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:28:55 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:30:46 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:30:46 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:30:47 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:31:12 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:31:16 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:31:34 [main] INFO  c.s.magento.pages.CartPage - user is on cart page
17:39:15 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:39:16 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:39:16 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:39:42 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:39:46 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:40:14 [main] INFO  c.s.magento.pages.CartPage - user is on cart page
17:40:48 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:40:49 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:40:49 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:41:15 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:41:19 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:41:46 [main] INFO  c.s.magento.pages.CartPage - user is on cart page
17:43:06 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:43:07 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
